#M	Z	b-11
1.200000e+01	1.000000e-02	1.142300e-08
1.500000e+01	1.000000e-02	1.286300e-08
2.000000e+01	1.000000e-02	1.513600e-08
2.500000e+01	1.000000e-02	1.474800e-08
