#M	Z	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
1.200000e+01	1.000000e-02	1.208220e-10	1.025500e-09	1.627800e-09	2.408700e-09	1.308000e-09	3.304500e-09	1.791530e-09
1.500000e+01	1.000000e-02	4.420380e-10	1.612400e-09	2.267100e-09	3.809800e-09	2.082100e-09	5.472100e-09	2.480300e-09
2.000000e+01	1.000000e-02	3.674540e-10	2.337800e-09	2.735800e-09	4.503500e-09	2.329100e-09	5.949300e-09	2.379600e-09
2.500000e+01	1.000000e-02	1.530640e-10	1.529200e-09	2.622900e-09	4.172000e-09	2.312900e-09	6.237000e-09	6.742400e-09
