#M_sun	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
8	0	0	0	0	0	0
1.200000e+01	8.456120e-03	8.287450e-05	9.892290e-06	1.101034e-04	4.970020e-07	9.253100e-07
1.500000e+01	1.540880e-03	1.283857e-04	1.047150e-05	3.396100e-05	1.832195e-06	1.196200e-06
2.000000e+01	4.473000e-04	1.164688e-04	7.815800e-06	2.470000e-05	9.960490e-07	1.205500e-06
2.500000e+01	5.988000e-04	7.034500e-05	3.618480e-05	2.372000e-05	3.456958e-06	2.314900e-06
