#M_sun	c-12	c-13
8	0	0
1.200000e+01	8.872500e-02	4.101200e-04
1.500000e+01	1.569750e-01	4.632400e-04
2.000000e+01	2.290250e-01	4.221000e-04
2.500000e+01	2.234370e-01	3.496000e-04
