#M	Z	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
1.200000e+01	1.000000e-02	3.398500e-11	1.696700e-10	9.551000e-10	1.507000e-09	9.979000e-10	1.686400e-09	1.455700e-09
1.500000e+01	1.000000e-02	3.030900e-11	1.977400e-10	1.153600e-09	1.854400e-09	1.184900e-09	2.022200e-09	1.744500e-09
2.000000e+01	1.000000e-02	3.506400e-11	2.339500e-10	1.416400e-09	2.058400e-09	1.498900e-09	2.620500e-09	2.188200e-09
2.500000e+01	1.000000e-02	2.564800e-11	1.965600e-10	1.783900e-09	2.611400e-09	1.734700e-09	2.818100e-09	2.483400e-09
