#M	Z	sr-84	sr-86	sr-87	sr-88
1.200000e+01	1.000000e-02	2.377080e-08	6.512600e-08	2.361000e-08	2.376300e-07
1.500000e+01	1.000000e-02	3.840900e-09	2.139180e-07	1.768640e-07	1.740000e-06
2.000000e+01	1.000000e-02	2.242800e-09	5.049600e-07	4.195830e-07	3.363640e-06
2.500000e+01	1.000000e-02	1.709700e-09	3.988900e-07	2.597800e-07	1.507900e-06
