#M	Z	br-79	br-81
1.200000e+01	1.000000e-02	1.360160e-07	1.297340e-07
1.500000e+01	1.000000e-02	4.449300e-07	2.775600e-07
2.000000e+01	1.000000e-02	1.082940e-06	6.350900e-07
2.500000e+01	1.000000e-02	6.602600e-07	5.778500e-07
