#M	Z	lu-175	lu-176
1.200000e+01	1.000000e-02	7.708700e-10	2.220800e-10
1.500000e+01	1.000000e-02	9.214000e-10	3.684800e-10
2.000000e+01	1.000000e-02	1.096000e-09	3.133700e-10
2.500000e+01	1.000000e-02	1.212000e-09	3.797000e-10
