#M	Z	tb-159
1.200000e+01	1.000000e-02	1.163000e-09
1.500000e+01	1.000000e-02	1.397800e-09
2.000000e+01	1.000000e-02	1.657700e-09
2.500000e+01	1.000000e-02	1.855800e-09
