#M	Z	in-113	in-115
1.200000e+01	1.000000e-02	1.136500e-10	2.513900e-09
1.500000e+01	1.000000e-02	1.442900e-10	3.151000e-09
2.000000e+01	1.000000e-02	2.060000e-10	4.167800e-09
2.500000e+01	1.000000e-02	1.600300e-10	3.780000e-09
