#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	1.000000e-02	2.258880e-11	9.635700e-10	4.926400e-10	1.167900e-09	9.621000e-10
1.500000e+01	1.000000e-02	1.522115e-10	1.313400e-09	6.557600e-10	1.569400e-09	1.335600e-09
2.000000e+01	1.000000e-02	1.925400e-11	1.490900e-09	8.737000e-10	1.808000e-09	1.557700e-09
2.500000e+01	1.000000e-02	5.692100e-11	2.122900e-09	9.981000e-10	2.078200e-09	1.443200e-09
