#M	Z	bi-209
1.200000e+01	1.000000e-02	3.936900e-09
1.500000e+01	1.000000e-02	5.100600e-09
2.000000e+01	1.000000e-02	6.292000e-09
2.500000e+01	1.000000e-02	6.472000e-09
