#M_sun	he-3	he-4
8	0	0
1.200000e+01	2.602600e-04	3.724100e+00
1.500000e+01	2.518700e-04	4.495900e+00
2.000000e+01	2.472000e-04	5.598000e+00
2.500000e+01	1.599000e-04	6.476000e+00
