#M_sun	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
8	0	0	0	0	0	0	0
1.200000e+01	4.351200e-09	2.846000e-09	7.540800e-09	5.039400e-09	4.000500e-09	8.450200e-09	3.814300e-09
1.500000e+01	1.424150e-08	3.455400e-09	1.372200e-08	7.627300e-09	6.638400e-09	1.478500e-08	5.367300e-09
2.000000e+01	6.216000e-09	4.666900e-09	2.541000e-08	9.425000e-09	1.024710e-08	1.866600e-08	6.681000e-09
2.500000e+01	5.464000e-09	3.725000e-09	2.424100e-08	9.568000e-09	1.214700e-08	1.933300e-08	8.375000e-09
