#M	Z	as-75
1.200000e+01	1.000000e-02	4.950020e-07
1.500000e+01	1.000000e-02	7.984000e-07
2.000000e+01	1.000000e-02	2.535350e-06
2.500000e+01	1.000000e-02	2.950290e-06
