#M_sun	pb-206	pb-207	pb-204	pb-208
8	0	0	0	0
1.200000e+01	1.247300e-08	1.327000e-08	1.310300e-09	3.969000e-08
1.500000e+01	2.195100e-08	1.872200e-08	4.113200e-09	5.328900e-08
2.000000e+01	2.438000e-08	2.824800e-08	2.702700e-09	7.049000e-08
2.500000e+01	2.651200e-08	2.284200e-08	2.675000e-09	7.436000e-08
