#M	Z	tm-169
1.200000e+01	1.000000e-02	7.897800e-10
1.500000e+01	1.000000e-02	9.513000e-10
2.000000e+01	1.000000e-02	1.144200e-09
2.500000e+01	1.000000e-02	1.159000e-09
