#M	Z	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
1.200000e+01	1.000000e-02	3.552300e-10	3.070600e-10	2.938000e-09	2.962200e-09	5.773400e-09	2.809300e-09	6.849600e-09	2.175800e-09
1.500000e+01	1.000000e-02	5.296700e-10	4.494300e-10	3.952600e-09	3.772200e-09	8.197000e-09	3.428900e-09	1.004600e-08	3.308500e-09
2.000000e+01	1.000000e-02	7.321500e-10	9.845200e-10	4.963700e-09	4.464300e-09	9.931000e-09	4.343900e-09	1.267500e-08	5.157100e-09
2.500000e+01	1.000000e-02	3.368000e-10	3.506000e-10	4.176000e-09	5.149000e-09	9.527000e-09	4.709000e-09	1.187300e-08	4.418000e-09
