#M_sun	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
8	0	0	0	0	0	0	0
1.200000e+01	6.910800e-12	1.179630e-11	2.353500e-10	1.479600e-09	2.254100e-09	1.932500e-09	2.355500e-09
1.500000e+01	9.208800e-12	2.464400e-11	3.480000e-10	1.762800e-09	2.793500e-09	2.275500e-09	2.801400e-09
2.000000e+01	4.354100e-11	1.706300e-11	4.770800e-10	2.085900e-09	3.020300e-09	2.669600e-09	3.502900e-09
2.500000e+01	5.288000e-12	1.343400e-11	3.091000e-10	2.400600e-09	3.382000e-09	2.979000e-09	3.680000e-09
