#M	Z	la-138	la-139
1.200000e+01	1.000000e-02	6.215000e-12	7.860400e-09
1.500000e+01	1.000000e-02	1.331800e-11	1.213500e-08
2.000000e+01	1.000000e-02	1.086700e-11	1.564500e-08
2.500000e+01	1.000000e-02	8.416000e-12	1.452900e-08
