#M	Z	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
1.200000e+01	1.000000e-02	7.535300e-11	2.014700e-09	6.768400e-10	3.555400e-09	5.374700e-09	1.503000e-08	2.449400e-08	2.703400e-08
1.500000e+01	1.000000e-02	1.024800e-10	2.540700e-09	8.103000e-10	4.742300e-09	6.543000e-09	1.950800e-08	2.888900e-08	3.132800e-08
2.000000e+01	1.000000e-02	2.179800e-10	2.929800e-09	9.650000e-10	5.680000e-09	7.903000e-09	2.301600e-08	3.438100e-08	3.680100e-08
2.500000e+01	1.000000e-02	8.596000e-11	2.675000e-09	9.397000e-10	5.315000e-09	8.564000e-09	2.390900e-08	3.538000e-08	3.859000e-08
