#M	Z	sb-121	sb-123
1.200000e+01	1.000000e-02	2.767800e-09	2.146200e-09
1.500000e+01	1.000000e-02	3.787100e-09	2.889000e-09
2.000000e+01	1.000000e-02	5.500600e-09	3.580400e-09
2.500000e+01	1.000000e-02	4.617000e-09	3.741000e-09
