#M	Z	y-89
1.200000e+01	1.000000e-02	7.088500e-08
1.500000e+01	1.000000e-02	2.289400e-07
2.000000e+01	1.000000e-02	4.948500e-07
2.500000e+01	1.000000e-02	2.934800e-07
