#M	Z	fe-54	fe-56	fe-57	fe-58
1.200000e+01	1.000000e-02	4.727440e-03	1.930071e-01	5.459710e-03	4.775400e-05
1.500000e+01	1.000000e-02	1.799357e-02	5.405900e-02	2.776580e-03	3.257580e-04
2.000000e+01	1.000000e-02	1.906800e-03	2.625910e-01	5.034140e-03	4.994925e-03
2.500000e+01	1.000000e-02	4.426000e-04	7.365000e-03	2.451700e-04	2.333100e-04
