#M_sun	zn-64	zn-66	zn-67	zn-68	zn-70
8	0	0	0	0	0
1.200000e+01	2.889720e-05	6.852920e-05	6.907670e-06	8.042100e-06	5.696330e-07
1.500000e+01	5.122748e-04	6.695260e-05	1.228834e-05	6.168100e-05	1.059100e-06
2.000000e+01	1.832700e-05	5.385390e-05	1.622590e-05	4.847100e-05	2.786230e-06
2.500000e+01	1.558800e-05	9.923600e-05	3.718680e-05	5.030800e-05	1.292842e-05
