#M	Z	co-59
1.200000e+01	1.000000e-02	2.004907e-03
1.500000e+01	1.000000e-02	4.841340e-04
2.000000e+01	1.000000e-02	1.076236e-03
2.500000e+01	1.000000e-02	1.494700e-04
