#M_sun	o-16	o-17	o-18
8	0	0	0
1.200000e+01	1.183100e-01	2.469800e-05	1.055820e-03
1.500000e+01	8.814980e-01	3.478400e-05	1.381950e-03
2.000000e+01	1.313640e+00	4.838300e-05	1.460700e-04
2.500000e+01	8.493800e-01	2.068000e-05	7.310000e-05
