#M_sun	rb-85	rb-87
8	0	0
1.200000e+01	7.803600e-08	4.141600e-08
1.500000e+01	5.101100e-07	2.201580e-07
2.000000e+01	1.029480e-06	3.643890e-07
2.500000e+01	5.181800e-07	1.862500e-07
