#M	Z	h-1	h-2
1.200000e+01	1.000000e-02	4.953900e+00	8.312000e-06
1.500000e+01	1.000000e-02	5.421000e+00	3.776000e-06
2.000000e+01	1.000000e-02	6.057000e+00	4.300000e-07
2.500000e+01	1.000000e-02	5.760000e+00	0.000000e+00
