#M_sun	ni-58	ni-60	ni-61	ni-62	ni-64
8	0	0	0	0	0
1.200000e+01	1.663006e-02	8.990070e-03	1.749727e-04	2.821291e-03	3.704080e-05
1.500000e+01	2.631327e-02	2.235380e-03	1.959771e-04	2.549333e-03	7.862890e-05
2.000000e+01	3.686200e-04	1.964140e-03	1.595480e-04	5.739930e-04	9.126300e-05
2.500000e+01	3.108000e-04	5.169900e-04	1.839480e-04	4.602050e-04	2.516400e-04
