#M	Z	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
1.200000e+01	1.000000e-02	2.633600e-10	2.089400e-09	4.311900e-09	5.468800e-09	5.301200e-09	2.739500e-09
1.500000e+01	1.000000e-02	4.822000e-10	2.751600e-09	5.564900e-09	7.553700e-09	8.459800e-09	3.881000e-09
2.000000e+01	1.000000e-02	7.378500e-10	3.697000e-09	6.483000e-09	9.425000e-09	9.608000e-09	5.272000e-09
2.500000e+01	1.000000e-02	2.247000e-10	3.091000e-09	8.469000e-09	9.966000e-09	9.388000e-09	5.150000e-09
