#M	Z	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
1.200000e+01	1.000000e-02	6.049550e-08	1.683500e-07	1.098820e-07	8.171800e-08	3.156900e-07	1.157800e-07
1.500000e+01	1.000000e-02	2.044090e-08	1.039930e-07	3.971000e-07	3.175700e-07	1.648980e-06	7.605700e-07
2.000000e+01	1.000000e-02	4.542800e-09	5.696820e-07	1.603940e-06	6.727800e-07	3.418660e-06	8.520800e-07
2.500000e+01	1.000000e-02	2.072000e-09	2.044100e-07	7.058000e-07	4.752800e-07	2.146900e-06	1.188090e-06
