#M	Z	cs-133
1.200000e+01	1.000000e-02	6.400300e-09
1.500000e+01	1.000000e-02	8.269000e-09
2.000000e+01	1.000000e-02	1.053100e-08
2.500000e+01	1.000000e-02	1.001900e-08
