#M	Z	se-74	se-76	se-77	se-78	se-80	se-82
1.200000e+01	1.000000e-02	4.093720e-07	8.569040e-07	2.244880e-07	2.833000e-07	3.503100e-07	9.646500e-08
1.500000e+01	1.000000e-02	1.203198e-07	4.853900e-07	4.658410e-07	1.608370e-06	1.880870e-06	2.280300e-07
2.000000e+01	1.000000e-02	6.861000e-08	1.680280e-06	9.744400e-07	4.026240e-06	2.533600e-06	2.955700e-07
2.500000e+01	1.000000e-02	6.732000e-09	7.127200e-07	1.249770e-06	4.388960e-06	1.478400e-06	8.100200e-07
