#M	Z	rh-103
1.200000e+01	1.000000e-02	5.428000e-09
1.500000e+01	1.000000e-02	7.285000e-09
2.000000e+01	1.000000e-02	8.410000e-09
2.500000e+01	1.000000e-02	1.214900e-08
