#M_sun	cr-50	cr-52	cr-53	cr-54
8	0	0	0	0
1.200000e+01	8.630670e-05	2.689309e-03	1.810960e-04	2.852300e-06
1.500000e+01	2.702237e-04	1.080440e-03	2.410330e-04	5.213250e-05
2.000000e+01	1.928600e-05	2.431761e-01	1.027723e-02	4.035298e-03
2.500000e+01	4.543000e-06	9.449000e-05	1.203800e-05	9.239000e-06
