#M_sun	v-50	v-51
8	0	0
1.200000e+01	7.479760e-08	3.124310e-05
1.500000e+01	6.675910e-08	3.378140e-05
2.000000e+01	3.308533e-06	3.417024e-04
2.500000e+01	5.330200e-08	3.584000e-06
