#M_sun	si-28	si-29	si-30
8	0	0	0
1.200000e+01	8.055930e-02	7.760500e-04	7.901900e-04
1.500000e+01	1.194902e-01	1.171793e-02	9.356813e-02
2.000000e+01	5.007400e-02	3.910400e-03	3.456140e-02
2.500000e+01	2.736500e-02	5.804600e-03	4.612520e-03
