#M_sun	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
8	0	0	0	0	0	0	0
1.200000e+01	1.540990e-11	2.255600e-10	7.690900e-10	1.331300e-09	8.739000e-10	1.806500e-09	7.731500e-10
1.500000e+01	6.718500e-11	4.155500e-10	9.332000e-10	1.692300e-09	1.049500e-09	2.201500e-09	9.658000e-10
2.000000e+01	3.908400e-11	3.212000e-10	1.147400e-09	1.916900e-09	1.284900e-09	2.906200e-09	1.192900e-09
2.500000e+01	1.335500e-11	4.167000e-10	1.183200e-09	2.147200e-09	1.342500e-09	2.789000e-09	1.236700e-09
