#M	Z	ir-191	ir-193
1.200000e+01	1.000000e-02	5.411300e-09	9.290000e-09
1.500000e+01	1.000000e-02	6.167000e-09	1.057100e-08
2.000000e+01	1.000000e-02	7.053000e-09	1.209600e-08
2.500000e+01	1.000000e-02	7.330000e-09	1.242200e-08
