#M	Z	eu-151	eu-153
1.200000e+01	1.000000e-02	8.617000e-10	9.429000e-10
1.500000e+01	1.000000e-02	1.067400e-09	1.108700e-09
2.000000e+01	1.000000e-02	1.237000e-09	1.266800e-09
2.500000e+01	1.000000e-02	1.462100e-09	1.430100e-09
