#M_sun	ce-136	ce-138	ce-140	ce-142
8	0	0	0	0
1.200000e+01	1.894060e-10	1.038820e-10	1.799900e-08	2.610800e-09
1.500000e+01	2.659420e-10	1.412090e-10	2.611300e-08	3.403100e-09
2.000000e+01	2.162000e-10	3.030200e-10	3.321500e-08	4.318800e-09
2.500000e+01	4.449000e-11	6.175000e-11	3.213000e-08	4.889000e-09
