#M_sun	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
8	0	0	0	0	0	0	0	0	0	0
1.200000e+01	8.246800e-10	6.921800e-10	1.825500e-10	7.894400e-09	4.302300e-09	1.372700e-08	4.874600e-09	1.874800e-08	3.231600e-09	4.333400e-09
1.500000e+01	1.268090e-09	1.470980e-09	2.618900e-10	1.026100e-08	5.416900e-09	1.977400e-08	6.120500e-09	2.728700e-08	5.273200e-09	5.635500e-09
2.000000e+01	1.768700e-09	1.760200e-09	3.331900e-10	1.317600e-08	6.769000e-09	2.398500e-08	7.992000e-09	3.328800e-08	7.624300e-09	6.874000e-09
2.500000e+01	6.508000e-10	6.223000e-10	3.192000e-10	1.166700e-08	6.964000e-09	2.149700e-08	7.385000e-09	2.957000e-08	6.062000e-09	1.034500e-08
