#M	Z	s-32	s-33	s-34	s-36
1.200000e+01	1.000000e-02	6.193970e-02	3.361880e-04	8.457890e-04	5.586670e-06
1.500000e+01	1.000000e-02	3.127180e-02	1.314329e-03	1.172845e-01	1.128934e-03
2.000000e+01	1.000000e-02	1.127080e-02	1.228285e-03	5.065270e-02	1.543340e-05
2.500000e+01	1.000000e-02	2.279200e-02	3.565900e-04	2.836150e-03	5.805710e-05
