#M	Z	cl-35	cl-37
1.200000e+01	1.000000e-02	9.198240e-04	6.033100e-05
1.500000e+01	1.000000e-02	8.116419e-03	4.849130e-04
2.000000e+01	1.000000e-02	1.835149e-03	1.032700e-04
2.500000e+01	1.000000e-02	2.037010e-03	9.591900e-05
