#M	Z	ho-165
1.200000e+01	1.000000e-02	3.469000e-09
1.500000e+01	1.000000e-02	3.992500e-09
2.000000e+01	1.000000e-02	4.721000e-09
2.500000e+01	1.000000e-02	4.940000e-09
