#M	Z	ti-46	ti-47	ti-48	ti-49	ti-50
1.200000e+01	1.000000e-02	1.849060e-05	3.813900e-06	5.302200e-04	1.479160e-05	1.170200e-06
1.500000e+01	1.000000e-02	2.235560e-05	4.716400e-06	6.913400e-05	7.838300e-06	5.212300e-06
2.000000e+01	1.000000e-02	5.271300e-06	3.271100e-06	2.321480e-04	2.293400e-05	2.522811e-04
2.500000e+01	1.000000e-02	3.512700e-06	5.544900e-06	1.790200e-05	2.878700e-06	4.586700e-06
