#M_sun	ar-36	ar-38	ar-40
8	0	0	0
1.200000e+01	1.226700e-02	7.981470e-04	2.230110e-06
1.500000e+01	3.313890e-03	1.075712e-02	5.436832e-05
2.000000e+01	1.169500e-03	6.742270e-03	5.731730e-06
2.500000e+01	4.914700e-03	1.003490e-03	1.763011e-05
