#M_sun	cu-63	cu-65
8	0	0
1.200000e+01	5.038400e-05	2.199090e-05
1.500000e+01	8.856990e-05	3.301170e-05
2.000000e+01	7.704680e-05	5.448170e-05
2.500000e+01	1.697590e-04	7.779970e-05
