#M_sun	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
8	0	0	0	0	0	0	0
1.200000e+01	5.448880e-10	1.058610e-10	1.951000e-09	5.219500e-09	6.230400e-09	8.752000e-09	5.725700e-08
1.500000e+01	8.994500e-10	1.736800e-10	2.650400e-09	6.780500e-09	1.089700e-08	1.172900e-08	9.132000e-08
2.000000e+01	1.356800e-09	1.360550e-09	4.050000e-09	8.057000e-09	1.199500e-08	1.527900e-08	1.193500e-07
2.500000e+01	9.565000e-11	9.343000e-11	2.936000e-09	7.934000e-09	1.021500e-08	1.388700e-08	1.144800e-07
