#M_sun	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
8	0	0	0	0	0	0
1.200000e+01	1.328130e-11	4.143300e-10	1.051500e-08	1.047300e-08	8.467000e-09	2.508500e-09
1.500000e+01	2.674480e-11	4.769300e-10	1.203300e-08	1.193900e-08	9.894000e-09	3.077200e-09
2.000000e+01	9.084000e-12	5.748200e-10	1.416400e-08	1.376100e-08	1.254900e-08	3.700600e-09
2.500000e+01	3.103000e-11	5.098000e-10	1.390400e-08	1.392700e-08	1.143100e-08	3.602000e-09
