#M	Z	er-162	er-164	er-166	er-167	er-168	er-170
1.200000e+01	1.000000e-02	1.613650e-11	1.195700e-10	1.843000e-09	1.167500e-09	1.495900e-09	8.589400e-10
1.500000e+01	1.000000e-02	3.075400e-11	2.136500e-10	2.271100e-09	1.375900e-09	1.802000e-09	1.087500e-09
2.000000e+01	1.000000e-02	5.260700e-11	1.838800e-10	2.600900e-09	1.676100e-09	2.322800e-09	1.462300e-09
2.500000e+01	1.000000e-02	9.547000e-12	1.392500e-10	2.705000e-09	1.729900e-09	2.242600e-09	1.314800e-09
