#M	Z	sc-45
1.200000e+01	1.000000e-02	2.211620e-06
1.500000e+01	1.000000e-02	4.498700e-06
2.000000e+01	1.000000e-02	4.215820e-06
2.500000e+01	1.000000e-02	5.974200e-06
