#M	Z	au-197
1.200000e+01	1.000000e-02	4.611000e-09
1.500000e+01	1.000000e-02	5.454600e-09
2.000000e+01	1.000000e-02	6.502000e-09
2.500000e+01	1.000000e-02	6.390000e-09
