#M	Z	ga-69	ga-71
1.200000e+01	1.000000e-02	3.992140e-06	1.181710e-06
1.500000e+01	1.000000e-02	4.314770e-06	3.011570e-06
2.000000e+01	1.000000e-02	8.475280e-06	4.956120e-06
2.500000e+01	1.000000e-02	2.660000e-05	7.382050e-06
