1.0	0.0001	1.631764448e-10
1.0	0.001	5.694850000000003e-13
1.0	0.006	7.683999999997464e-15
1.0	0.01	-2.9200000000023626e-14
1.0	0.02	3.1200000000047346e-14
1.65	0.0001	6.831276727272728e-12
1.65	0.001	1.5161193939393947e-12
1.65	0.006	3.3672242424242396e-12
1.65	0.01	1.3389090909091036e-12
1.65	0.02	6.739393939394882e-13
2.0	0.0001	3.838461200000001e-12
2.0	0.001	6.031181918435034e-12
2.0	0.006	1.0391663999999994e-11
2.0	0.01	7.19416450003433e-11
2.0	0.02	-2.743836499950355e-11
3.0	0.0001	4.253129100000001e-12
3.0	0.001	1.4634030819381597e-11
3.0	0.006	1.5317921999999998e-11
3.0	0.01	-1.075599333105467e-11
3.0	0.02	9.750941333451449e-10
4.0	0.0001	6.436177125e-12
4.0	0.001	3.4731442000000004e-11
4.0	0.006	1.114210645e-10
4.0	0.01	1.5696849999999994e-10
4.0	0.02	4.4965399999999987e-10
5.0	0.0001	1.3257524200000002e-12
5.0	0.001	6.499723000000001e-12
5.0	0.006	1.852274800000012e-12
5.0	0.01	7.780312e-11
5.0	0.02	2.2120032000000005e-10
6.0	0.0001	1.8354166666666603e-14
6.0	0.001	5.67976666666666e-13
6.0	0.006	3.007322333333333e-11
6.0	0.01	1.6592133333333344e-11
6.0	0.02	6.306893333333328e-11
7.0	0.0001	1.5390857142857076e-14
7.0	0.001	9.466714285714327e-14
7.0	0.006	4.853131428571421e-12
7.0	0.01	-3.088000000000044e-12
7.0	0.02	4.198857142857109e-12
