1.0	0.0001	5.0604e-11
1.0	0.001	-5.9650000000000005e-12
1.0	0.006	-3.596e-11
1.0	0.01	-2.95e-10
1.0	0.02	-5.911e-10
1.65	0.0001	7.464e-12
1.65	0.001	1.62e-12
1.65	0.006	4.010000000000007e-12
1.65	0.01	1.490000000000002e-11
1.65	0.02	-2.9999999999998862e-12
2.0	0.0001	5.039000000000001e-12
2.0	0.001	1.287e-11
2.0	0.006	3.196e-11
2.0	0.01	2.531e-10
2.0	0.02	4.480000000000001e-10
3.0	0.0001	7.686e-12
3.0	0.001	3.474e-11
3.0	0.006	1.1005999999999999e-10
3.0	0.01	8.307e-10
3.0	0.02	1.733e-09
4.0	0.0001	1.3314e-11
4.0	0.001	8.446e-11
4.0	0.006	3.4276e-10
4.0	0.01	1.4697e-09
4.0	0.02	3.22e-09
5.0	0.0001	6.2230000000000004e-12
5.0	0.001	4.7989999999999994e-11
5.0	0.006	1.9506e-10
5.0	0.01	1.8367e-09
5.0	0.02	3.864e-09
6.0	0.0001	4.055000000000001e-12
6.0	0.001	4.185e-11
6.0	0.006	3.3796e-10
6.0	0.01	2.1487e-09
6.0	0.02	4.439e-09
7.0	0.0001	4.852000000000001e-12
7.0	0.001	4.8820000000000006e-11
7.0	0.006	3.1765999999999997e-10
7.0	0.01	2.5206999999999998e-09
7.0	0.02	5.162e-09
