1.0	0.0001	4.349462432e-11
1.0	0.001	1.8699865e-12
1.0	0.006	3.700000000002075e-15
1.0	0.01	-6.184999999997975e-14
1.0	0.02	2.91000000000118e-14
1.65	0.0001	2.115941781818182e-12
1.65	0.001	4.2751801818181825e-12
1.65	0.006	1.0609696969696967e-11
1.65	0.01	7.319303030303045e-12
1.65	0.02	2.2975757575758196e-12
2.0	0.0001	2.29372108e-12
2.0	0.001	1.316241076408021e-10
2.0	0.006	3.17152e-11
2.0	0.01	9.943506e-10
2.0	0.02	2.683978e-09
3.0	0.0001	1.539765856666667e-12
3.0	0.001	1.798759488245986e-11
3.0	0.006	2.875085e-11
3.0	0.01	1.2660128333333332e-10
3.0	0.02	-2.846266233333333e-10
4.0	0.0001	3.3447106624999998e-12
4.0	0.001	1.79257578e-11
4.0	0.006	4.638391249999999e-11
4.0	0.01	1.0968456249999998e-10
4.0	0.02	2.9305950000000007e-10
5.0	0.0001	3.5409177800000013e-13
5.0	0.001	1.7163407000000003e-12
5.0	0.006	2.0323900000000085e-12
5.0	0.01	3.278791e-11
5.0	0.02	8.197376000000003e-11
6.0	0.0001	1.6604166666667078e-15
6.0	0.001	7.31456666666665e-14
6.0	0.006	7.249916666666667e-12
6.0	0.01	7.726316666666712e-12
6.0	0.02	1.7503716666666726e-11
7.0	0.0001	6.563200000000033e-15
7.0	0.001	2.4214714285714876e-14
7.0	0.006	1.3437142857142857e-12
7.0	0.01	5.5285714285663446e-14
7.0	0.02	1.5151428571428863e-12
