1.0	0.0001	7.3151024e-12
1.0	0.001	3.8530499999999944e-13
1.0	0.006	2.2779999999999894e-14
1.0	0.01	-5.030999999999285e-13
1.0	0.02	-6.733999999998166e-13
1.65	0.0001	1.8383381818181827e-13
1.65	0.001	3.609460606060673e-13
1.65	0.006	2.2812121212121776e-13
1.65	0.01	-7.095090909090872e-12
1.65	0.02	-1.2323636363636146e-11
2.0	0.0001	4.0557560000000026e-13
2.0	0.001	3.0408936479666925e-13
2.0	0.006	2.8168799999999915e-12
2.0	0.01	-2.3028261499998973e-10
2.0	0.02	-6.106817999999765e-10
3.0	0.0001	3.027849666666673e-13
3.0	0.001	5.689138556331846e-12
3.0	0.006	5.201656666666639e-12
3.0	0.01	-4.88042499982429e-10
3.0	0.02	5.357913335149005e-11
4.0	0.0001	8.106526250000001e-13
4.0	0.001	4.0315460000000035e-12
4.0	0.006	8.75702750000002e-12
4.0	0.01	7.367375000000024e-12
4.0	0.02	-3.803000000000049e-12
5.0	0.0001	2.709459999999801e-15
5.0	0.001	-5.38400999999997e-13
5.0	0.006	-2.915733999999975e-12
5.0	0.01	-1.9557340000000043e-11
5.0	0.02	-1.9130239999999644e-11
6.0	0.0001	-1.6772916666666624e-13
6.0	0.001	-1.5289699999999995e-12
6.0	0.006	-5.305783333333327e-12
6.0	0.01	-4.972743333333316e-11
6.0	0.02	-6.120170000000002e-11
7.0	0.0001	-1.9943314285714263e-13
7.0	0.001	-1.833898571428565e-12
7.0	0.006	-8.357657142857167e-12
7.0	0.01	-6.557685714285716e-11
7.0	0.02	-1.134348571428572e-10
