#M	Z	v-50	v-51
1.200000e+01	1.000000e-03	8.450000e-13	3.443000e-10
1.500000e+01	1.000000e-03	1.257000e-12	5.121000e-10
2.000000e+01	1.000000e-03	2.644000e-12	1.077000e-09
2.500000e+01	1.000000e-03	4.166000e-12	1.697000e-09
