#M_sun	lu-175	lu-176
8	0	0
1.200000e+01	1.521000e-13	3.764000e-14
1.500000e+01	2.262000e-13	5.599000e-14
2.000000e+01	4.759000e-13	1.178000e-13
2.500000e+01	7.499000e-13	1.856000e-13
