#M	Z	in-113	in-115
1.200000e+01	1.000000e-03	2.167000e-14	4.922000e-13
1.500000e+01	1.000000e-03	3.223000e-14	7.321000e-13
2.000000e+01	1.000000e-03	6.779000e-14	1.540000e-12
2.500000e+01	1.000000e-03	1.068000e-13	2.427000e-12
