#M_sun	tl-203	tl-205
8	0	0
1.200000e+01	2.680000e-13	6.460000e-13
1.500000e+01	3.986000e-13	9.609000e-13
2.000000e+01	8.386000e-13	2.021000e-12
2.500000e+01	1.321000e-12	3.185000e-12
