#M	Z	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
1.200000e+01	1.000000e-03	8.254000e-13	3.731000e-13	7.344000e-13	2.576000e-13	5.365000e-13	1.818000e-13	1.804000e-13
1.500000e+01	1.000000e-03	1.228000e-12	5.549000e-13	1.092000e-12	3.831000e-13	7.980000e-13	2.704000e-13	2.684000e-13
2.000000e+01	1.000000e-03	2.583000e-12	1.167000e-12	2.298000e-12	8.059000e-13	1.679000e-12	5.689000e-13	5.645000e-13
2.500000e+01	1.000000e-03	4.069000e-12	1.839000e-12	3.621000e-12	1.270000e-12	2.645000e-12	8.964000e-13	8.895000e-13
